MON,DAY,YEAR,HR,MIN,TMZN,TLRW,WPER,WHGT,PENTAD
1,2,2010,19,0,HST,76.3,13.883333333333335,8.071916666666667,1
1,2,2010,20,0,HST,76.3,13.6,8.079083333333333,1
1,2,2010,21,0,HST,76.3,14.091666666666665,8.362333333333332,1
1,2,2010,22,0,HST,76.19999999999999,13.583333333333334,8.069333333333331,1
1,2,2010,23,0,HST,76.3,13.933333333333334,8.433833333333334,1
1,3,2010,0,0,HST,76.19999999999999,13.272727272727273,7.674497835497835,1
1,3,2010,1,0,HST,76.3,13.5875,7.897505952380951,1
1,3,2010,2,0,HST,76.3,13.699404761904763,8.095696428571427,1
1,3,2010,3,0,HST,76.1925925925926,13.476785714285715,7.88482738095238,1
1,3,2010,4,0,HST,76.1,13.33095238095238,8.024160714285715,1
1,3,2010,5,0,HST,76.3,13.958974358974361,8.258967948717949,1
1,3,2010,6,0,HST,76.1,13.858928571428573,7.801089285714285,1
1,3,2010,7,0,HST,76.3,14.042261904761906,7.93832738095238,1
1,3,2010,8,0,HST,76.3,13.703571428571427,8.102839285714285,1
1,3,2010,9,0,HST,76.3,14.025595238095237,8.036089285714285,1
1,3,2010,10,0,HST,76.3,13.816666666666666,8.00344642857143,1
1,3,2010,11,0,HST,76.3,14.039285714285715,8.337279761904762,1
1,3,2010,12,0,HST,76.4,14.045833333333334,7.981976190476191,1
1,3,2010,13,0,HST,76.5,13.866666666666665,8.065386904761905,1
1,3,2010,14,0,HST,76.8,13.6625,7.73357738095238,1
1,3,2010,15,0,HST,76.75,13.933333333333334,8.017386904761903,1
1,3,2010,16,0,HST,76.7,13.508928571428571,8.01719642857143,1
1,3,2010,17,0,HST,76.6,13.508928571428571,8.286499999999998,1
1,3,2010,18,0,HST,76.5,13.669642857142858,8.127154761904759,1
1,3,2010,19,0,HST,76.3,13.444047619047621,8.146863095238096,1
1,3,2010,20,0,HST,76.3,13.292857142857143,8.163922619047618,1
1,3,2010,21,0,HST,76.19999999999999,13.57202380952381,8.245761904761903,1
1,3,2010,22,0,HST,76.3,13.458333333333334,8.05090476190476,1
1,3,2010,23,0,HST,76.5,13.733333333333334,8.466226190476192,1
1,4,2010,0,0,HST,76.5,13.311688311688313,8.138252628324055,1
1,4,2010,1,0,HST,76.19999999999999,13.754464285714286,8.225244472789115,1
1,4,2010,2,0,HST,76.5,13.779124149659864,8.392710459183673,1
1,4,2010,3,0,HST,76.7,13.49298469387755,8.245946003401361,1
1,4,2010,4,0,HST,76.7,13.485544217687075,8.419279336734695,1
1,4,2010,5,0,HST,76.7,13.968639053254437,8.723183431952663,1
1,4,2010,6,0,HST,76.7,13.938137755102042,8.307417091836735,1
1,4,2010,7,0,HST,76.7,14.18218537414966,8.307910289115647,1
1,4,2010,8,0,HST,76.7,13.753826530612244,8.366792091836734,1
1,4,2010,9,0,HST,76.7,14.069090136054422,8.455274234693878,1
1,4,2010,10,0,HST,76.7,13.934523809523808,8.337799744897959,1
1,4,2010,11,0,HST,76.7,13.82780612244898,8.573454506802722,1
1,4,2010,12,0,HST,76.75,13.65029761904762,8.341522108843536,1
1,4,2010,13,0,HST,76.8,13.773809523809522,8.440355017006803,1
1,4,2010,14,0,HST,76.8,13.584821428571429,8.06282100340136,1
1,4,2010,15,0,HST,76.8,13.940476190476192,8.216783588435375,1
1,4,2010,16,0,HST,76.8,13.491709183673468,8.206817602040816,1
